com_name,cont_name,cont_tel
汕头嘉瑞置业有限公司,曹工,010-60163308
惠州市正黄置业有限公司,郑仲田,15913108304
佛山泛悦置业有限公司,罗先生,13620891289
广州尚龙置业有限公司,叶工,020-32053161
珠海索卡置业有限公司,纪铭华,18666146698
中粮（深圳）智汇置业有限公司,周晖,0755-23885043
佛山市保坤置业有限公司,刘工,020-38206262
广东晟世投资置业有限公司,郑先生,020-87313927
珠海清能置业有限公司,夏斌,0756-3886690
珠海清能置业有限公司,陈学军,15602860699
惠州交投利臻置业有限公司,邱工,0752-2829226
佛山建投中建壹品置业有限公司,梁先生,0757-82902665
珠海市成泰置业有限公司,叶桂章,13600363689
珠海市成泰置业有限公司,钟文杰,13697757221
珠海市成泰置业有限公司,黄勇,13823056228
通号佛山置业有限公司,罗小姐,0757-89818070
通号佛山置业有限公司,周先生,13826280236
通号佛山置业有限公司,曾先生,17328021859
深圳市汇海置业有限公司,赵晓羽,0755-86388808
深圳市汇海置业有限公司,赵晓羽,13714358552
广东宝钢置业有限公司,王先生,020-28366878
广东宝钢置业有限公司,,020-83606085
广州铁路地产置业有限公司,李工,020-61322893
广州铁路地产置业有限公司,曾工,020-61330291
广州铁路地产置业有限公司,邓茜,020-61383275
广东空港置业有限公司,,020-86125040
广东空港置业有限公司,,020-86128961
广东空港置业有限公司,,020-86129312
广东空港置业有限公司,,020-86133127
广东空港置业有限公司,戴周琦,020-86133322
佛山市南海恒胜置业有限公司,李冠锋,18620943087
佛山市顺德区顺汇置业有限公司,蒙先生,0757-22337036
佛山市顺德区顺汇置业有限公司,蒙先生,0757-29299827
深圳市香江置业有限公司,吴晓峰,0755-33090058
深圳市香江置业有限公司,许东方,33090058
深圳市宝投置业有限公司,陈小焕,0755-29611946
深圳市宝投置业有限公司,陈小焕,0755-29748001
深圳市宝投置业有限公司,章春苹,0755-83703961
深圳市宝投置业有限公司,,13640905479
深圳市宝投置业有限公司,王万立,13714235120
深圳市太子湾商泰置业有限公司,张珍,15818708002
深圳市太子湾商泰置业有限公司,张楠,18665333883
中山中裕房地产置业有限公司,夏先生,0760-89983596
中山中裕房地产置业有限公司,汪尉炫,15907653008
