com_name,cont_name,cont_tel
阳江市阳东区文化广电旅游体育局,,0662-6611535
广东罗定农村商业银行股份有限公司,谭先生,0766-3925503
高州市东风小学,,0668-6661888
深圳市光明区美域幼儿园,王老师,18938933086
深圳市光明区上域幼儿园,刘老师,13530027355
普宁市政务服务数据管理局,,0663-2489999
陆河县融媒体中心,邹先生,15119408585
陆丰市潭西镇深港小学,陈先生,13927929188
东莞市城市管理和综合执法局虎门分局,谭带璋,13925753399
翁源县铁林市政工程有限公司,,0751-2662483
南澳县文化广电旅游体育局,,0754-86806090
汕头市潮南区仙城镇人民政府,,0754-84434905
高州市大井镇中心卫生院,邓先生,0668-6821633
融通地产（广东）有限责任公司,严总,020-37600255
阳江合金材料实验室,,18510008219
广州市黄埔雅苑海韵实验幼儿园,郭园长,020-82377062
大通县桥头镇安门滩村,于老师,0971-8183232
深圳市南山区消防救援大队,杨义纯,13798440037
东莞市人力资源和社会保障局石龙分局,苏琬清,15816829661
深圳市光明区环境水务有限公司,祖工,0755-29905480
广州市黄埔区消防救援大队,,020-82014811
珠海市南水镇社会管理综合治理办公室,邝嘉豪,0756-7718597
化州市同庆镇油桁小学,,0668-7815088
广州医科大学附属脑科医院工会委员会,谷先生,020-81268046
珠海市东部大桥养护中心,,0756-2615036
深圳市龙岗区坪地街道六联社区工作站,蔡晓红,0755-84087897
惠州新材料产业园投资建设有限公司,张先生,0752-8266650
珠海市自然资源与规划技术中心,,0756-3268981
广东省渔政总队恩平大队,,0750-7176923
佛山市森林消防综合救援队,,0757-83381771
珠海市知识产权保护中心,杨爽,13676031160
佛山市顺德区均安镇妇女联合会,李小姐,0757-25386922
广州市番禺区洛浦东乡小学,,020-84584434
雷州市覃斗镇流沙村民委员会,陈稀,0759-8640277
珠海华金智汇湾创业投资有限公司,彭心怡,0756-8303639
潮州市潮安区公路事务中心,,0768-5811732
佛山市南海区人才服务管理办公室,黎佩敏,0757-86266586
饶平县浮滨镇水利水电管理所,张所,13435589988
肇庆市鼎湖区发展和改革局,尹先生,0758-6629073
广州市第一商业职工幼儿园,李小姐,020-81814004
广州市白云区松洲街槎龙经济联合社,张工,020-81993283
四会市工业和信息化局,,0758-3323271
梅州市市场监督管理局,,0753-2326512
化学与精细化工广东省实验室潮州分中心,,0768-2393695
广州市番禺区东环街东沙村,黄生,020-84878955
东莞市石碣镇横滘第一股份经济合作社,陈小姐,0769-81802628
东莞市企石镇铁岗股份经济联合社,麦先生,0769-86781890
东莞市常平镇农村集体资产管理办公室,萧艳霞,13631732736
深南电（东莞）唯美电力有限公司,夏锡辉,0769-88461135
广东汉剧传承研究院,邓小姐,0753-2234872
广州市番禺区石碁镇低涌村,陈先生,13760869117
东莞市水务集团供水有限公司,马工,0769-22628713
深圳市龙华区龙华街道机关事务中心,廖荣芬,0755-27746621
湛江市广业环保投资有限公司,蔡工,18899753153
韶关市广业生态环保有限公司,梁先生,020-83630367
阳山县太平镇卫生院,,0763-7211173
罗定市亿道实业投资有限公司,,0766-3863002
广州市工业和信息化产业发展中心,陈健堂,020-83757020
肇庆高新技术产业开发区生态环境服务中心,,0758-3646234
广州市番禺区沙湾镇福涌村,陈生,020-84892221
清远市清城区飞来湖小学,,0763-31528932
越秀区退役军人事务局,,020-37601707
广州市番禺区消防救援大队,,020-84871606
揭阳空港经济区文化旅游体育局,,0663-8776006
东莞市大朗镇人民武装部,刘惠军,18028208800
高州市大坡镇清湖小学,,15875883336
广东省广播电视网络股份有限公司云浮新兴分公司,陈先生,18818980360
深圳长合汽车销售服务有限公司,雷旷,18926102906
惠州市惠城区消防救援大队,何先生,0752-2223119
中共广东汕尾红海湾经济开发区工作委员会组织人社局,,0660-3437718
珠海赛隆国际投资有限公司,古功伟,13825657916
东莞市东坑镇人民政府体育运动委员会,,0769-83380009
深圳赛格股份有限公司,,0755-07558374
东莞市虎门镇博涌小学,,13711999003
广州市番禺区石碁镇桥山小学,林杏华,020-34555977
广东财贸职业学院（广东省财政职业技术学校）,钟老师,020-86041287
东莞市交通运输局石排分局,,0769-86651700
珠海市金湾区动物疫病预防控制中心,,0756-7798228
佛山星顺房地产开发有限公司,文亚雄,13554450156
和平县住房和城乡建设局,王先生,0762-5610980
东源县融湾工业投资有限公司,,0762-8811881
东莞滨海湾新区工程建设中心,张工,0769-26889223
茂名市茂南区公馆镇中心学校,,0668-2325963
惠来县锡溪学校,,0663-6781133
佛山聚锦园电子科技有限公司,区工,0757-83130519
汕尾市华侨管理区发展和财政局,,0660-8252188
广州市黄埔区环卫美化服务中心,,020-82227369
深圳市宝投市场管理有限公司,,13602643829
云浮市云安区清源污水处理有限公司,毛先生,0766-8616971
深圳市光明区凤凰东升幼儿园,陈小梅,13823763806
深圳市光明区光明翠湖幼儿园,温老师,13827405658
深圳市光明区光明白花幼儿园,叶老师,13392178025
深圳市光明区马田将围幼儿园,黄老师,13714197613
深圳市光明区大第幼儿园,鞠艳,13510146924
深圳市光明区勤诚达正大城幼儿园,崔老师,13798186287
深圳市光明区马田振明幼儿园,谢老师,13538101367
中山中晟环境科技有限公司,李杰,0760-22817789
广州市番禺区钟村街谢村村,马国权,020-84771707
平远县市场监督管理局,,0753-8898613
广州市黄埔区文冲街社区卫生服务中心,,020-32363397
广州市黄埔区文冲街社区卫生服务中心,,020-82585017
东莞市麻涌镇教育管理中心,,0769-88823333
韶关市曲江区疾病预防控制中心,,0751-6910308
化州市南盛街道乐堂小学,,0668-7613826
东莞市麻涌镇人民政府,徐旭文,0769-88821889
深圳市丽琦科技有限公司,陈工,18926527069
